Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Etiology and STI/HIV coinfections among patients with urethral and vaginal discharge syndromes in South Africa.,Mhlongo S.; Magooa P.; Müller EE.; Nel N.; Radebe F.; Wasserman E.; Lewis DA.,"This study was undertaken to establish the etiology of the male urethral discharge (MUDS) and vaginal discharge (VDS) syndromes, to determine the prevalence of other sexually transmitted infections (STI) and human immunodeficiency virus (HIV) coinfections, and to examine associations between STIs and HIV serostatus among STI patients in South Africa. A total of 507 MUDS and 300 VDS patients were recruited in Cape Town (CPT) and Johannesburg (JHB). A multiplex polymerase chain reaction assay detected Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis, and Mycoplasma genitalium infections. Bacterial vaginosis and candidiasis were detected by microscopy. Sera were screened for syphilis, HSV-2, and HIV antibodies. Etiological diagnoses were made for 92% of MUDS patients and 85% of VDS patients. Gonorrhoea accounted for 85% (CPT) and 71% (JHB) of MUDS presentations. Chlamydia was the second most frequently detected MUDS pathogen (CPT, 13%; JHB, 24%). Among VDS patients, bacterial vaginosis was the most common cause (CPT, 46%; JHB, 36%) and trichomoniasis the most frequently detected STI pathogen (CPT, 19%; JHB, 34%). Few patients (4%) had serological evidence of syphilis. The HSV-2 and HIV seroprevalence were higher in Johannesburg compared to Cape Town and among women compared to men. HIV infection was statistically significantly associated with HSV-2 seropositivity at both sites and with the presence of N. gonorrhoeae and absence of C. trachomatis in Cape Town MUDS patients. Gonorrhoea and bacterial vaginosis were confirmed as the most frequent causes of MUDS and VDS. The high HIV seroprevalence in STI patients emphasizes the need to address HIV testing among this population.",2010,Sep,Sexually transmitted diseases,37,9,566-70,,10.1097/OLQ.0b013e3181d877b7,20502394,#1780,Mhlongo 2010,"",""
Chlamydia trachomatis infection in fertile and subfertile women in Rwanda: prevalence and diagnostic significance of IgG and IgA antibodies testing,"Muvunyi, C. M.; Dhont, N.; Verhelst, R.; Temmerman, M.; Claeys, G.; Padalko, E.","BACKGROUND: In many developing countries, little is known about the prevalence of genital Chlamydia trachomatis infections and complications, such as infertility, thus preventing any policy from being formulated regarding screening for C. trachomatis of patients at risk for infertility. The objective of the present study was to determine the prevalence of C. trachomatis and evaluate the diagnostic utility of serological markers namely anti-C. trachomatis IgG and IgA antibodies in women attending an infertility clinic. METHODS: Serum and vaginal swab specimens of 303 women presenting with infertility to the infertility clinic of the Kigali University Teaching Hospital and 312 fertile controls who recently delivered were investigated. Two commercial species-specific ELISA were used to determine serum IgG and IgA antibodies to C. trachomatis and vaginal swabs specimens were tested by PCR. Hysterosalpingography (HSG) was performed in subfertile women. RESULTS: The PCR prevalence of C. trachomatis infection was relatively low and did not differ significantly among subfertile and fertile women (3.3 versus 3.8%). Similarly, no significant differences in overall prevalence rates of C. trachomatis IgG and IgA among both groups were observed. The only factor associated with C. trachomatis infection in our study population was age <25 years. The seroprevalence of IgG in both assays (86.4% for ANILabsystems and 90.9% for Vircell) was significantly higher in the group of PCR C. trachomatis-positive women compared with that of PCR-negative women. Evidence of tubal pathology identified by HSG was found in 185 patients in the subfertile group (67.8%). All the serological markers measured in this study had very low sensitivities and negative predictive values in predicting tubal pathology. The specificities for ANILabsystems IgG, Vircell IgG, Anilabsystem IgA and positive C. trachomatis DNA to predict tubal pathology were 84, 86, 95 and 98%, respectively, whereas their respective positive predictive values were 73, 76, 81 and 80%. CONCLUSIONS: The prevalence of C. trachomatis in our study population in Rwanda appears to be low and women aged <25 years are more likely to have genital infection with C. trachomatis. Since serological testing for Chlamydia shows an excellent negative predictive value for lower genital tract infection, specific peptide-based serological assays may be of use for screening in low prevalence settings. Our data suggest that C. trachomatis is not the primary pathogen responsible for tubal pathology in Rwandan women.",2011,Dec,Human Reproduction,26,12,3319-3326,WOS:000297058000015,10.1093/humrep/der350,,#6304,Muvunyi 2011,"",""
"Sexually transmitted infections, the silent partner in HIV-infected women in Zimbabwe.",Lowe S.; Mudzviti T.; Mandiriri A.; Shamu T.; Mudhokwani P.; Chimbetete C.; Luethy R.; Pascoe M.,"Coinfection rates of HIV and sexually transmitted infections (STIs) are not widely reported in Zimbabwe and no local guidelines regarding the screening of STIs in people living with HIV exist. This cross-sectional study was conducted to determine the prevalence and associated risk factors for STI coinfection in a cohort of HIV-infected women. Between January and June 2016, 385 HIV-infected women presenting for routine cervical cancer screening were tested for five STIs: Neisseria gonorrhoeae (NG), Chlamydia trachomatis (CT), Trichomonas vaginalis (TV), Herpes Simplex Virus (HSV) type 2 and Treponema pallidum (TP). Socio-demographic characteristics and sexual history were recorded. Multiple logistic regression was used to identify factors associated with the diagnosis of non-viral STIs. Two hundred and thirty-three participants (60.5%) had a confirmed positive result for at least one STI: HSV 2 prevalence 52.5%, TV 8.1%, CT 2.1%, NG 1.8% and TP 11.4%. Eighty-seven per cent of the women were asymptomatic for any STI; 62.3% of women with a non-viral STI were asymptomatic. Women who had attended tertiary education were 90% less likely to have a non-viral STI (adjusted odds ratio [aOR]: 0.10, 95% confidence interval [CI]: 0.03-0.39, p < 0.01). Having more than three lifetime sexual partners was a significant predictor for a non-viral STI diagnosis (aOR: 3.3, 95% CI: 1.5-7.2, p < 0.01). A high prevalence of predominantly asymptomatic STIs is reported in a cohort of HIV-infected women. Syndromic management results in underdiagnosis of asymptomatic patients. More than three lifetime sexual partners and less formal education are risk factors for coinfection with non-viral STI. High-risk women should be screened using aetiological methods.",2019,,Southern African journal of HIV medicine,20,1,849,,10.4102/sajhivmed.v20i1.849,30863622,#1210,Lowe 2019,"",""
Prevalence and factors associated with sexually transmitted infections among HIV positive women opting for intrauterine contraception.,Kakaire O.; Byamugisha JK.; Tumwesigye NM.; Gamzell-Danielsson K.,"Women living with HIV/AIDS (WLHA) are a high risk group for sexually transmitted infections (STIs). However, the majority of women with STIs are asymptomatic. Data on prevalence of STIs among WLHA in Uganda are limited. The objective of the study was to determine prevalence and factors associated with STIs among WLHA opting for intrauterine contraceptive device (IUD). Three hundred fifty one WLHA deemed free of STIs using a syndromic logarithm were enrolled into the study. Endo-cervical swabs were taken before IUD insertion and PCR test for Nisseria gonorrhea (NG), Trichomonas vaginalis (TV) and Chlamydia trachomatis (CT) infections conducted. Participants' mean age was 29.4 ± 6.2 years, 83% were under 35years, 50% had secondary education and 73% were married. The majority (69%) had disclosed their HIV sero status to their spouses, 82% used Cotrimoxazole prophylaxis, 70% were on antiretroviral therapy, 90% had CD4 count greater than 350, about 60% reported condoms use and 70% were of parity 2-4. Over 50% of the participants' spouses were older than 35 years and 72% had attained secondary education. STIs prevalence was 11.1%, (95% CI 7.8-14.4) and individual prevalence for TV, NG, and CT was 5.9%, 5.4% and 0.9% respectively. Factors independently associated with STI were having primary or less education (OR= 2.3, 95% CI: 1.09 - 4.85) having a spouse of primary or less education (OR= 3.3, 95% CI: 1.6 - 6.78) and muslim faith (OR= 0.2, 95% CI: 0.04 - 0.78). STI prevalence was 11.1%. TV and NG were the commonest STIs in this population. Having primary or less education for both participant and spouse was associated with increased risk while being of muslim faith was associated with reduced risk of STI.",2015,,PloS one,10,4,e0122400,,10.1371/journal.pone.0122400,25859659,#1797,Kakaire 2015,"",""
A high burden of asymptomatic genital tract infections undermines the syndromic management approach among adolescents and young adults in South Africa: implications for HIV prevention efforts.,Kaida A.; Dietrich JJ.; Laher F.; Beksinska M.; Jaggernath M.; Bardsley M.; Smith P.; Cotton L.; Chitneni P.; Closson K.; Lewis DA.; Smit JA.; Ndung'u T.; Brockman M.; Gray G.,"Youth in southern Africa, particularly adolescent girls and young women, are a key population for HIV prevention interventions. Untreated genital tract infections (GTIs) increase both HIV transmission and acquisition risks. South African GTI treatment guidelines employ syndromic management, which relies on individuals to report GTI signs and symptoms. Syndromic management may, however, underestimate cases, particularly among youth. We compared genital tract infection (GTI) prevalence by symptom-based and laboratory assessment among sexually-experienced youth in South Africa, overall and stratified by sex. Interviewer-administered surveys assessed socio-demographics, behaviors, and GTI symptoms among 352 youth (16-24 yrs., HIV-negative or unknown HIV status at enrollment) enrolled in community-based cohorts in Durban and Soweto (2014-2016). Laboratory tests assessed HIV, Chlamydia trachomatis (CT), Neisseria gonorrhoeae (NG), Mycoplasma genitalium (MG), Trichomonas vaginalis (TV) infections and, among females, bacterial vaginosis (BV) and Candida species. Youth with genital ulcers were tested for HSV-2 and syphilis. We assessed sensitivity (and specificity) of symptom-based reporting in identifying laboratory-confirmed GTIs. At baseline, 16.2% of females (32/198) and < 1% (1/154) of males reported ≥1 GTI symptom. However, laboratory tests identified ≥1 GTI in 70.2% and 10.4%, respectively. Female CT prevalence was 18.2%, NG 7.1%, MG 9.6%, TV 8.1%, and 5.1% were newly diagnosed with HIV. BV prevalence was 53.0% and candidiasis 9.6%. One female case of herpes was identified (0 syphilis). Male CT prevalence was 7.8%, NG 1.3%, MG 3.3%, TV < 1%, and 2.0% were newly diagnosed with HIV. Overall, 77.8% of females and 100% of males with laboratory-diagnosed GTIs reported no symptoms or were asymptomatic. Sensitivity (and specificity) of symptom-based reporting was 14% (97%) among females and 0% (99%) among males. A high prevalence of asymptomatic GTIs and very poor sensitivity of symptom-based reporting undermines the applicability of syndromic GTI management, thus compromising GTI control and HIV prevention efforts among youth. Syndromic GTI management does not meet the sexual health needs of young people. Policy changes incorporating innovations in GTI diagnostic testing are needed to reduce GTIs and HIV-associated risks among youth.",2018,Oct,BMC infectious diseases,18,1,499,,10.1186/s12879-018-3380-6,30285705,#1994,Kaida 2018,"",""
"Prevalence and correlates of sexually transmitted infections in pregnancy in HIV-infected and- uninfected women in Cape Town, South Africa.",Joseph Davey DL.; Nyemba DC.; Gomba Y.; Bekker LG.; Taleghani S.; DiTullio DJ.; Shabsovich D.; Gorbach PM.; Coates TJ.; Klausner JD.; Myer L.,"Sexually transmitted infections (STIs) are associated with adverse outcomes in pregnancy, including mother-to-child HIV transmission. Yet there are limited data on the prevalence and correlates of STI in pregnant women by HIV status in low- and middle-income countries, where syndromic STI management is routine. Between November 2017 and July 2018, we conducted a cross-sectional study of consecutive pregnant women making their first visit to a public sector antenatal clinic (ANC) in Cape Town. We interviewed women ≥18 years and tested them for Chlamydia trachomatis (CT), Neisseria gonorrhoea (NG) and Trichomonas vaginalis (TV) using Xpert assays (Cepheid, USA); results of syphilis serology came from routine testing records. We used multivariable logistic regression to identify correlates of STI in pregnancy. In 242 women (median age 29 years [IQR = 24-34], median gestation 19 weeks [IQR = 14-24]) 44% were HIV-infected. Almost all reported vaginal sex during pregnancy (93%). Prevalence of any STI was 32%: 39% in HIV-infected women vs. 28% in HIV-uninfected women (p = 0.036). The most common infection was CT (20%) followed by TV (15%), then NG (5.8%). Of the 78 women diagnosed with a STI, 7 (9%) were identified and treated syndromically in ANC. Adjusting for age and gestational age, HIV-infection (aOR = 1.89; 95% CI = 1.02-3.67), being unmarried or not cohabiting with the fetus' father (aOR = 2.19; 95% CI = 1.16-4.12), and having STI symptoms in the past three days (aOR = 6.60; 95% CI = 2.08-20.95) were associated with STI diagnosis. We found a high prevalence of treatable STIs in pregnancy among pregnant women, especially in HIV-infected women. Few women were identified and treated in pregnancy.",2019,,PloS one,14,7,e0218349,,10.1371/journal.pone.0218349,31260486,#931,JosephDavey 2019,"",""
"Evaluation of risk factors in MTCT among HIV-seropositive pregnant women in selected centers in Akure, South Western Nigeria",Ebhodaghe B.I.; Ako-Nai K.A.; Aderoba A.K.,"Background: The burden of mother-to-child transmission (MTCT) of HIV remains a major challenge in Nigeria, the country ranks highest globally. About 10% of global HIV-infected individuals live in Nigeria, of which 58% are women. The study analyzed risk and cofactors of MTCT in healthcare centers of Akure, Ondo State, Nigeria, between November 2014 and April 2016. Methods: A total of 240 pregnant women aged 19-43 years were recruited for the study, 114 HIV-seropositive mean age 31.81 years and 126 HIV-seronegative mean age 29.05 years as controls. High vaginal sawbs, breast milk, oropharynx, and neonates' nares were collected using sterile cotton-tipped applicator and introducing each into thioglycollate fluid medium for growth. Bacterial isolates were characterized by the standard microbiological methods and API kits. HIV serostatus of each participant was determined by HIV-1/2 strip and confirmed by Abbott enzyme-linked immunosorbent assay procedure. Sexually transmitted infections were detected by the enzyme immunoassays using commercial kits. Results: A total of 2,148 bacterial isolates were recovered from both cohorts (911 from HIV-seropositive, 864 HIV-seronegative, and 373 from neonates' nares). Predominant pathogens recovered were Staphylococcus aureus, Pseudomonas aeruginosa, and diverse corynebacteria as commensals. Coinfection of HIV with other sexually transmitted diseases (STDs) was prominent. About 92.1% of patients received combination ART. Neonates mortality rate was 10.5 and 7.8% mothers were potential transmitters. Spontaneous vaginal delivery accounted 91.7% deliveries. Conclusion: Incidence of STDs among HIV-seropositive was 77.5 and 22.5% for HIV-seronegative. Incidence of spontaneous vaginal delivery was 91.7% in HIV-seropositive women and 10.5% mortality rate recorded for neonates and 7.8% transmission for mothers posed high risk of MTCT, which is epidemiological significant.",2017,,Annals of Tropical Medicine and Public Health,10,1,165-181,,10.4103/1755-6783.205567,,#4388,Ebhodaghe 2017,"",""
"Prevalence of sexually transmitted infections among women attending antenatal clinics in Tanga, north eastern Tanzania.",Chiduo M.; Theilgaard ZP.; Bakari V.; Mtatifikolo F.; Bygbjerg I.; Flanholc L.; Gerstoft J.; Christiansen CB.; Lemnge M.; Katzenstein TL.,"This study aimed to determine the prevalence of sexually transmitted infections (STIs) among HIV-infected and uninfected pregnant women in Tanga, Tanzania. Retrospective data on syphilis and HIV status during 2008-2010 were collected from antenatal clinic (ANC) records. Prospective data were collected from HIV-infected (n = 105) and HIV-uninfected pregnant women (n = 100) attending ANCs between April 2009 and August 2010. Syphilis prevalence showed a declining trend (3.1%, 1.4% and 1.3%), while HIV prevalence was stable (6.1%, 6.4% and 5.4%) during 2008-2010. HIV-infected women had significantly higher prevalence of trichomoniasis (18.8% versus 5.0%; P < 0.003) and candidiasis (16.5% versus 2.0%; P < 0.001) while the higher rate of gonorrhoea (3.5% versus 0%; P = 0.095) was not statistically significant when compared with HIV-uninfected women. There were no statistically significant differences in prevalence of chlamydial infection (0% versus 3.0%; P = 0.156) or syphilis (2.4% versus 3.0%; P = 1) between HIV-infected and uninfected women. Other STIs were common in both HIV-infected and uninfected pregnant women.",2012,May,International journal of STD & AIDS,23,5,325-9,,10.1258/ijsa.2011.011312,22648885,#1926,Chiduo 2012,"",""
Association of Schistosomiasis and HIV infection in Tanzania.,Downs JA.; van Dam GJ.; Changalucha JM.; Corstjens PL.; Peck RN.; de Dood CJ.; Bang H.; Andreasen A.; Kalluvya SE.; van Lieshout L.; Johnson WD.; Fitzgerald DW.,"Animal and human studies suggest that Schistosoma mansoni infection may increase risk of human immunodeficiency virus (HIV) acquisition. Therefore, we tested 345 reproductive age women in rural Tanzanian villages near Lake Victoria, where S. mansoni is hyperendemic, for sexually transmitted infections (STIs) and schistosomiasis by circulating anodic antigen (CAA) serum assay. Over one-half (54%) had an active schistosome infection; 6% were HIV-seropositive. By univariate analysis, only schistosome infection predicted HIV infection (odds ratio [OR] = 3.9, 95% confidence interval = [1.3-12.0], P = 0.015) and remained significant using multivariate analysis to control for age, STIs, and distance from the lake (OR = 6.2 [1.7-22.9], P = 0.006). HIV prevalence was higher among women with more intense schistosome infections (P = 0.005), and the median schistosome intensity was higher in HIV-infected than -uninfected women (400 versus 15 pg CAA/mL, P = 0.01). This finding suggests that S. mansoni infection may be a modifiable HIV risk factor that places millions of people worldwide at increased risk of HIV acquisition.",2012,Nov,The American journal of tropical medicine and hygiene,87,5,868-73,,10.4269/ajtmh.2012.12-0395,23033399,#691,Downs 2012,"",""
The Etiology of Vaginal Discharge Syndrome in Zimbabwe: Results from the Zimbabwe STI Etiology Study.,Chirenje ZM.; Dhibi N.; Handsfield HH.; Gonese E.; Tippett Barr B.; Gwanzura L.; Latif AS.; Maseko DV.; Kularatne RS.; Tshimanga M.; Kilmarx PH.; Machiha A.; Mugurungi O.; Rietmeijer CA.,"Symptomatic vaginal discharge is a common gynecological condition managed syndromically in most developing countries. In Zimbabwe, women presenting with symptomatic vaginal discharge are treated with empirical regimens that commonly cover both sexually transmitted infections (STIs) and reproductive tract infections, typically including a combination of an intramuscular injection of kanamycin, and oral doxycycline and metronidazole regimens. This study was conducted to determine the current etiology of symptomatic vaginal discharge and assess adequacy of current syndromic management guidelines. We enrolled 200 women with symptomatic vaginal discharge presenting at 6 STI clinics in Zimbabwe. Microscopy was used to detect bacterial vaginosis and yeast infection. Nucleic acid amplifications tests were used to detect Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis, and Mycoplasma genitalium. In addition, serologic testing was performed to detect human immunodeficiency virus (HIV) infection. Of the 200 women, 146 (73%) had an etiology detected, including bacterial vaginosis (24.7%); N. gonorrhoeae (24.0%); yeast infection (20.7%); T. vaginalis (19.0%); C. trachomatis (14.0%) and M. genitalium (7.0%). Among women with STIs (N = 90), 62 (68.9%) had a single infection, 18 (20.0%) had a dual infection, and 10 (11.1%) had 3 infections.Of 158 women who consented to HIV testing, 64 (40.5%) were HIV infected.The syndromic management regimen covered 115 (57.5%) of the women in the sample who had gonorrhea, chlamydia, M. genitalium, or bacterial vaginosis, whereas 85 (42.5%) of women were treated without such diagnosis. Among women presenting with symptomatic vaginal discharge, bacterial vaginosis was the most common etiology, and gonorrhea was the most frequently detected STI. The current syndromic management algorithm is suboptimal for coverage of women presenting with symptomatic vaginal discharge; addition of point of care testing could compliment the effectiveness of the syndromic approach.",2018,06,Sexually transmitted diseases,45,6,422-428,,10.1097/OLQ.0000000000000771,29465674,#1975,Chirenje 2018,"",""
"Chlamydia and Gonorrhea Infections in HIV-positive Women in Urban Lusaka, Zambia.",Alcaide ML.; Jones DL.; Chitalu N.; Weiss S.,"Sexually transmitted infections (STIs) remain an important public health issue in sub-Saharan Africa. STIs in HIV-positive women are associated not only with gynecological complications but with increased risk of HIV transmission to HIV-negative partners and newborns. The aims of this study are to determine the prevalence of chlamydia (CT) and gonorrhea (GC) and examine the demographic characteristics and risk behaviors associated with these STIs in a group of HIV-positive women in Lusaka, Zambia. Cross-sectional study of a sample of HIV-infected women enrolled in two large studies conducted in urban Lusaka, Zambia. HIV-seropositive women (n = 292) were assessed for demographic and behavioral risk factors and tested for CT and GC. Univariate analysis was used to determine the demographic characteristics and risk behaviors associated with having CT or GC. The identified prevalence of CT was 1% and of GC was 1.4%. There was an association of CT/GC with the use of alcohol before sex (OR = 9.I, CI = 0.59-0.15, P = 0.03). Rates of CT and GC are described in this sample of HIV-positive women. While being in HIV care may serve to increase medical care and condom use, alcohol use should be addressed in this population.",2012,Jul,Journal of global infectious diseases,4,3,141-4,,10.4103/0974-777X.100566,23055644,#673,Alcaide 2012,"",""
Combination Antiretroviral Therapy for HIV in Rwandan Adults: Clinical Outcomes and Impact on Reproductive Health up to 24 Months.,Asiimwe-Kateera B.; Veldhuijzen N.; Balinda JP.; Rusine J.; Eagle S.; Vyankandondera J.; Mugabekazi J.; Ondoa P.; Boer K.; Asiimwe A.; Lange J.; Reiss P.; van de Wijgert J.,"Adult women (n = 113) and men (n = 100) initiating combination antiretroviral therapy (cART) and women not yet eligible for cART (n = 199) in Kigali, Rwanda, were followed for 6-24 months between 2007 and 2010. In the cART groups, 21% of patients required a drug change due to side effects and 11% of patients had virological failure (defined as >1,000 HIV RNA copies/mL) after 12 months of cART. About a third of the pregnancies since HIV diagnosis were unintended. The proportion of women in the pre-cART group using modern contraception other than condoms (50%) was similar to women in the general population, but this proportion was only 25% in women initiating cART. Of the women who carried at least one pregnancy to term since having been diagnosed HIV-positive, a third reported to have participated in a prevention-of-mother-to-child-transmission (PMTCT, option A) intervention. Many patients were coinfected with herpes simplex virus type 2 (79-92%), human papillomavirus (38-53%), and bacterial sexually transmitted infections (STIs) with no differences between groups. We applaud the Rwandan government for having strengthened family planning and PMTCT services and for having introduced HPV vaccination in recent years, but additional work is needed to strengthen STI and HPV-related cancer screening and management in the HIV-positive population.",2015,,AIDS research and treatment,2015,,740212,,10.1155/2015/740212,26257954,#475,Asiimwe-Kateera 2015,"",""
Detection of Mycoplasma genitalium in women with laparoscopically diagnosed acute salpingitis.,Cohen CR.; Mugo NR.; Astete SG.; Odondo R.; Manhart LE.; Kiehlbauch JA.; Stamm WE.; Waiyaki PG.; Totten PA.,"Mycoplasma genitalium has been associated with cervicitis, endometritis, and tubal factor infertility. Because the ability of this bacterium to ascend and infect the fallopian tube remains undefined, we performed an investigation to determine the prevalence of M genitalium in fallopian tube, endometrial, and cervical specimens from women laparoscopically diagnosed with acute salpingitis in Nairobi, Kenya. Women presenting with pelvic inflammatory disease were laparoscopically diagnosed with salpingitis. Infection with M genitalium in genital specimens was determined by polymerase chain reaction (PCR). Of 123 subjects with acute salpingitis, M genitalium was detected by PCR in the cervix and/or endometrium in nine (7%) participants, and in a single fallopian tube specimen. In addition, those infected with M genitalium were more often HIV infected than women not infected by M genitalium (seven of nine (78%) v 42 of 114 (37%), p<0.03). M genitalium is able to ascend into the fallopian tube, but its association with tubal pathology requires further investigation.",2005,Dec,Sexually transmitted infections,81,6,463-6,,10.1136/sti.2005.015701,16326847,#838,Cohen 2005,"",""
Effect of trichomoniasis therapy on genital HIV viral burden among African women.,Anderson BL.; Firnhaber C.; Liu T.; Swarts A.; Siminya M.; Ingersoll J.; Caliendo AM.; Cu-Uvin S.,"Our objective was to test the hypothesis that treatment for trichomoniasis among HIV-infected women not taking antiretrovirals in South Africa would be associated with decreased HIV genital shedding. HIV-infected women presenting for routine HIV care were screened for trichomoniasis using self-collected vaginal swabs with a rapid point-of-care immunochromatographic antigen test. Women testing positive were offered enrollment into a prospective cohort study, if they had documented HIV infection, were aged 18 to 50 years, and were not receiving antiretroviral therapy. Recent use of postexposure prophylaxis or antibiotic therapy, active genital ulcers, or systemic illness were exclusion criteria. Cervical swabs were collected for gonococcal and chlamydial testing, and those testing positive were excluded. Women were treated with directly observed oral therapy with 2 g of oral metronidazole. A follow-up visit was scheduled 1 month after therapy, and partner letters were provided. Paired cervical wicks and plasma were collected for viral load measurement. In all, 557 women were screened. Sixty tested positive for trichomoniasis, 10 subsequently met exclusion criteria, and 4 were lost to follow-up. Of 46 women evaluated at follow-up, 37 (80.4%) were cured. Plasma viral load was not significantly different after therapy (P = 0.93). Genital tract viral load decreased by 0.5 log10 (P < 0.01). The mean genital tract viral load (log10) decreased from 4.66 (<3.52-6.46) to 4.18 (<3.52-6.48) (P < 0.01) after therapy. Screening and treatment of vaginal trichomoniasis decrease genital shedding of HIV among South African women not receiving antiretrovirals at 1 month after therapy.",2012,Aug,Sexually transmitted diseases,39,8,638-42,,10.1097/OLQ.0b013e31825725ad,22797689,#1455,Anderson 2012,"",""
"High prevalence and incidence of asymptomatic sexually transmitted infections during pregnancy and postdelivery in KwaZulu Natal, South Africa.",Moodley D.; Moodley P.; Sebitloane M.; Soowamber D.; McNaughton-Reyes HL.; Groves AK.; Maman S.,"We report the prevalence and incidence of 3 treatable sexually transmitted pathogens (Neiserria gonorrhoeae, Chlamydia trachomatis, and Trichomonas vaginalis) in women who were HIV infected or at high risk for HIV infection, in pregnancy and postpartum, respectively. Vulvovaginal specimens collected at the first antenatal visit and again at 14 weeks postpartum were tested for N. gonorrhoeae, C. trachomatis, and T. vaginalis in the laboratory. Women were routinely tested for HIV-1 with a point-of-care test. Among 1480 women, 32.3% (95% confidence interval, 29.9-34.7) tested positive for any of the sexually transmitted infections (STIs) in pregnancy and 19.2% (95% confidence interval, 16.9-21.5) were positive when retested 14 weeks postpartum (incidence rate, 79.2 per 100 person-years). The prevalence of N. gonorrhoeae and T. vaginalis infections in pregnancy and the incidence rate of any STI at 14 weeks postpartum were significantly higher in HIV-1-infected women (P < 0.0001 amd P = 0.0079). More than 50% of N. gonorrhoeae, T. vaginalis, and C. trachomatis infections in pregnancy were asymptomatic. The high prevalence of asymptomatic STIs in pregnancy is compelling evidence that demands the development and validation of point-of-care tests for STIs be expedited. In addition, the high incidence of STIs 3 months postpartum suggests that women in this study setting resume unprotected sexual intercourse soon after delivery.",2015,Jan,Sexually transmitted diseases,42,1,43-7,,10.1097/OLQ.0000000000000219,25504300,#1847,Moodley 2015,"",""
"Cross-Sectional Study of Genital, Rectal, and Pharyngeal Chlamydia and Gonorrhea in Women in Rural South Africa","Peters, R. P. H.; Dubbink, J. H.; van der Eem, L.; Verweij, S. P.; Bos, M. L. A.; Ouburg, S.; Lewis, D. A.; Struthers, H.; McIntyre, J. A.; Morre, S. A.","Background: Epidemiological data of genital chlamydia and gonorrhea, required to inform design and implementation of control programs, are limited for rural Africa. There are no data on the prevalence of rectal or pharyngeal infections among African women. Methods: A cross-sectional study of 604 adult women visiting 25 primary health care facilities in rural South Africa was conducted. Vaginal, anorectal, and oropharyngeal swabs were tested for Chlamydia trachomatis and Neisseria gonorrhoeae. Results: Prevalence of genital chlamydia was 16% and that of gonorrhea was 10%; rectal chlamydial infection was diagnosed in 7.1% and gonococcal in 2.5% of women. One woman had pharyngeal chlamydia. Most women with genital chlamydia (61%) and gonorrhea (57%) were asymptomatic. Independent risk factors for genital chlamydia were younger age (adjusted odds ratio [aOR], 0.96 per year; 95% confidence interval [CI], 0.93-0.98), hormonal contraceptive use (aOR, 2.2; 95% CI, 1.3-3.7), pregnancy (aOR, 2.4; 95% CI, 1.3-4.4), and intravaginal cleansing (aOR, 1.7; 95% CI, 1.04-2.8). Intravaginal cleansing was associated with genital gonorrhea (aOR, 1.9; 95% CI, 1.1-3.3). Conclusions: Genital and rectal, but not pharyngeal, chlamydia and gonorrhea are highly prevalent and frequently asymptomatic in women in rural South Africa. Young women attending health care facilities for antenatal care or family planning should be prioritized in control efforts.",2014,Sep,Sex Transm Dis,41,9,564-569,WOS:000341078400011,10.1097/olq.0000000000000175,,#6050,Peters 2014,"",""
Laboratory Validation of Xpert Chlamydia trachomatis/Neisseria gonorrhoeae and Trichomonas vaginalis Testing as Performed by Nurses at Three Primary Health Care Facilities in South Africa,"Peters, R. P. H.; de Vos, L.; Maduna, L.; Mudau, M.; Klausner, J. D.; Kock, M. M.; Medina-Marino, A.",,2017,Dec,J Clin Microbiol,55,12,3563-3565,WOS:000416225200030,10.1128/jcm.01430-17,,#6051,Peters 2017,"",""
Correlates of HIV-1 genital shedding in Tanzanian women.,Tanton C.; Weiss HA.; Le Goff J.; Changalucha J.; Rusizoka M.; Baisley K.; Everett D.; Ross DA.; Belec L.; Hayes RJ.; Watson-Jones D.,"Understanding the correlates of HIV shedding is important to inform strategies to reduce HIV infectiousness. We examined correlates of genital HIV-1 RNA in women who were seropositive for both herpes simplex virus (HSV)-2 and HIV-1 and who were enrolled in a randomised controlled trial of HSV suppressive therapy (aciclovir 400 mg b.i.d vs. placebo) in Tanzania. Samples, including a cervico-vaginal lavage, were collected and tested for genital HIV-1 and HSV and reproductive tract infections (RTIs) at randomisation and 6, 12 and 24 months follow-up. Data from all women at randomisation and women in the placebo arm during follow-up were analysed using generalised estimating equations to determine the correlates of cervico-vaginal HIV-1 RNA detection and load. Cervico-vaginal HIV-1 RNA was detected at 52.0% of 971 visits among 482 women, and was independently associated with plasma viral load, presence of genital ulcers, pregnancy, bloody cervical or vaginal discharge, abnormal vaginal discharge, cervical ectopy, Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis, an intermediate bacterial vaginosis score and HSV DNA detection. Similar factors were associated with genital HIV-1 RNA load. RTIs were associated with increased presence and quantity of genital HIV-1 RNA in this population. These results highlight the importance of integrating effective RTI treatment into HIV care services.",2011,Mar,PloS one,6,3,e17480,,10.1371/journal.pone.0017480,21390251,#1184,Tanton 2011,"",""
