Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
The generational effect on age disparate partnerships and the risk for human immunodeficiency virus and sexually transmitted infections acquisition.,Street RA.; Reddy T.; Ramjee G.,"In South Africa, a large proportion of young women are in age disparate relationships, which is believed to be a risk factor for human immunodeficiency virus (HIV). The aim of this study was to determine the generational effect of age disparity on HIV and sexually transmitted infection (STI) incidence. Socio-demographic and behavioural data were collected from women, aged 16 and older, who were followed for up to 24 months. Women who reported having a steady sexual partner older than themselves were categorised into: (1) non-age disparate partnerships (age difference between partners was 0-4 years); (2) intra-generational age disparate partnerships (5-9 year age gap between sexual partners); and (3) inter-generational age disparate partnerships (age gap of 10 years or more between sexual partners). Of the 1355 women included in the analysis, 759, 429 and 167 were in non-age disparate, intra-generational age disparate and inter-generational age disparate partnerships, respectively. Strong predictors of inter-generational age disparate partnerships include age, marital status and concurrency of sexual partners. No significant relationship between age disparity and risk of HIV acquisition was found. The highest crude STI incidence was observed among those in intra-generational age disparate relationships followed by those in non-age disparate relationships (31.86 [26.41-38.44] and 25.60 [21.92-29.91] per 100 person-years, respectively). Reduction of multiple partnerships remains key to HIV prevention; however, in light of partner concurrency being more prevalent than individual concurrency partnerships, female-initiated HIV prevention options remain critical.",2016,08,International journal of STD & AIDS,27,9,746-52,,10.1177/0956462415592325,26138899,#1872,Street 2016,Exclusion reason: 3. Incorrect study design; ,""
"Frequency of Human Immunodeficiency Virus (HIV) in Trichomonas vaginalis Infected Women in Badagry, Lagos, Nigeria.",Salawu OT.; Esume CN.,"The interaction between HIV and Trichomonas vaginalis infection has been widely studied in most developed countries but with scanty information in sub-Saharan Africa. While many of these studies have examined the prevalence of T. vaginalis infection in HIV positive individuals, no study in Nigeria has shown the effect of T. vaginalis on HIV transmission. Therefore, the study aimed to determine the occurrence of HIV in T. vaginalis infected women. A descriptive study was conducted among women attending STI clinic at the General Hospital, Badagry, Lagos, Nigeria. A total number of 201 (T. vaginalis infected) women were screened for HIV using rapid diagnostic test kits. The frequency of HIV in T. vaginalis infected women was 35.8%. The study showed that T. vaginalis infection in women may be a high risk factor of HIV infection.",,,Journal of reproduction & infertility,17,1,61-3,,,26962485,#302,,Exclusion reason: 3. Incorrect study design; ,""
Effect of nonoxynol-9 gel on urogenital gonorrhea and chlamydial infection: a randomized controlled trial,"Roddy, Ronald E.; Zekeng, Léopold; Ryan, Kelley A.; Tamoufé, Ubald; Tweedy, Kathryn G.","MEDLINE Abstract: CONTEXT:<BR>Nonoxynol-9 has been suggested as a vaginal microbicide to protect against common sexually transmitted infections.<BR> <BR>OBJECTIVE:<BR>To compare nonoxynol-9 gel and condom use (gel group) vs condom use alone (condom group) for the prevention of male-to-female transmission of urogenital gonococcal and chlamydial infection.<BR> <BR>DESIGN AND SETTING:<BR>Randomized controlled trial conducted at 10 community clinics and 10 pharmacies in Yaoundé, Cameroon, between October 1998 and September 2000, with 6 months of follow-up.<BR> <BR>PARTICIPANTS:<BR>High-risk population of 1251 women (excluding sex workers) being treated for or who had symptoms of sexually transmitted infections. Three were excluded from the gel group (0.5%) and 7 from the condom group (1%) because of no follow-up data.<BR> <BR>INTERVENTIONS:<BR>Nonoxynol-9 gel (100 mg) and condoms or condoms only.<BR> <BR>MAIN OUTCOME MEASURE:<BR>A positive test result for gonococcal or chlamydial infection by the ligase chain reaction assay; secondary outcome measure was a positive test result for human immunodeficiency virus (HIV).<BR> <BR>RESULTS:<BR>The rate ratio (RR) for new urogenital infections was 1.2 for the gel group vs condom group (95% confidence interval [CI], 0.9-1.6; P =.21). The gel group had 116 diagnosed gonococcal infections, chlamydial infections, or both for a rate of 43.6 per 100 person-years, and the condom group had 100 infections for a rate of 36.6 per 100 person-years. The RR for gonococcal infection in the gel group vs the condom group was 1.5 (95% CI, 1.0-2.3) and for chlamydial infection was 1.0 (95% CI, 0.7-1.4). There were 5 new cases of HIV infections in the gel group and 4 in the condom group. Three women in each group became pregnant during the study.<BR> <BR>CONCLUSION:<BR>Nonoxynol-9 gel did not protect against urogenital gonococcal or chlamydial infection",2002,01/01/,J A M A: The Journal of the American Medical Association,287,9,1117-1122,,,,#5927,Roddy 2002,Exclusion reason: 5. Incorrect population; ,""
Evaluation of syndromic management of sexually transmitted infections within the Kisumu Incidence Cohort Study.,Otieno FO.; Ndivo R.; Oswago S.; Ondiek J.; Pals S.; McLellan-Lemal E.; Chen RT.; Chege W.; Gray KM.,"While laboratory aetiological diagnosis is considered the gold standard for diagnosis and management of sexually transmitted infections (STIs), syndromic management has been presented as a simplified and affordable approach for STI management in limited resource settings. STI signs and symptoms were collected using staff-administered computer-assisted personal interview and audio computer-assisted self-interview. Participants underwent a medical examination and laboratory testing for common STIs. The performance of syndromic management was assessed on the agreement between interviewing methods as well as accurate diagnosis. We screened 846 participants, of whom 88 (10.4%) received syndromic STI diagnosis while 272 (32.2%) received an aetiological diagnosis. Agreement between syndromic and aetiological diagnoses was very poor (overall kappa = 0.09). The most prevalent STI was herpes simplex virus type 2 and the percentage of persons with any STI was higher among women (48.6%) than men (15.6%, p < 0.0001). Agreement between audio computer-assisted self-interview and computer-assisted personal interview interviewing methods for syndromic diagnosis of STIs ranged from poor to good. Our findings suggest that syndromic management of STIs is not a sufficient tool for STI diagnosis in this setting; development and improvement of STI diagnostic capabilities through laboratory confirmation is needed in resource-limited settings.",2014,Oct,International journal of STD & AIDS,25,12,851-9,,10.1177/0956462414523260,24516075,#1887,Otieno 2014,Exclusion reason: 5. Incorrect population; ,""
Injectable contraception and acquisition of chlamydia and gonorrhea among south african women participating in MTN-003 (voice),Noguchi L.; Marrazzo J.; Richardson B.; Hillier S.; Balkus J.; Ramjee G.; Palanee T.; Nair G.; Selepe P.; Panchia R.; Piper J.; Gomez K.; Chirenje Z.M.,"Background: The potential impact of injectable hormonal contraception (HC) on C. trachomatis (CT) and N. gonorrhoeae (NG) acquisition in women is unclear. This is the first direct comparison of two commonly used methods of injectable HC in South Africa (depot medroxyprogesterone acetate [DMPA] and norethisterone enanthate [NET-EN]) on acquisition of these infections. Methods: MTN-003 was a randomized trial of HIV chemoprevention in Africa. Women using protocol-defined effective contraception were eligible for enrollment. Testing and treatment for CT and NG occurred at baseline, annual and exit visits, and when clinically indicated. Andersen-Gill proportional hazards models were used to assess the association between injectable contraceptive type and incident CT and NG among 4,077 South African MTN-003 participants. Results: Among the 3,246 (79.6%) participants who used injectable HC during follow-up, DMPA users were more likely, compared to NET-EN users, to be >25 years (43.1% vs. 34.0%, p<0.001), but had similar baseline prevalence of CT (14.3% vs. 14.2%, p=0.95) and NG (3.2% vs. 3.7%, p=0.49). During 3,761 person-years of follow-up, 514 cases of CT (14.2/100 person-years) and 118 of NG (3.1/100 person-years) were observed. Incidence did not differ between current DMPA and NET-EN users for CT (14.1/100 personyears [p-y] vs. 14.5/100 p-y, hazard ratio [HR] 0.95, 95% CI 0.79-1.16) or NG, (3.3/100 p-y vs. 3.8/100 p-y, HR 0.80, 95% CI 0.58-1.09). Adjustment for age, marriage, number of partners and condom use did not modify these inferences (CT: adjusted hazard ratio [aHR] 1.09, 95% CI 0.92-1.29; NG: aHR 0.92, 95% CI 0.64-1.32). Conclusions: The risk of incident CT or NG did not differ between DMPA and NET-EN users. Lack of a non-HC comparator prevented estimating risk associated with either injectable method compared to non-use. Women choosing injectable HC should be counseled that risk of these infections does not differ between DMPA and NET-EN use.",2014,,Sexually Transmitted Diseases,41,"(Chirenje Z.M.) University of Zimbabwe, Harare, Zimbabwe",S8,,,,#3932,Noguchi 2014,Exclusion reason: 5. Incorrect population; ,""
Trichomonas vaginalis infection and the diagnostic significance of detection tests among Ghanaian outpatients,"Asmah, R. H.; Agyeman, R. O.; Obeng-Nkrumah, N.; Blankson, H.; Awuah-Mensah, G.; Cham, M.; Asare, L.; Ayeh-Kumi, P. F.","BackgroundThere is little data on Trichomonas vaginalis infection in Ghana. This study evaluated the prevalence of trichomoniasis using different diagnostic methods and determined the risk factors for infection in patients.MethodsA structured questionnaire was administered. Vaginal swabs, urethral swabs and urine specimens were obtained from consenting patients; and the samples processed following standard protocols. The presence of T. vaginalis was determined using wet mount microscopy and polymerase chain reaction (PCR) as gold standard. We also assessed the diagnostic performance the JD's Trichomonas V (R) rapid antigen test to inform clinical practice.ResultsThe PCR assay detected T. vaginalis positivity in 64 of 150 patients (42.6, 95%CI:35.0, 50.6) including all positive samples of wet mount microscopy and JD's Trichomonas V (R) test. Wet mount microscopy showed low sensitivity (31.6%), high specificity (100%), moderate positive predictive value (75.0%), moderate positive likelihood ratio (3.0), and weak agreement (Cohen's kappa, 0.283) with PCR assay. The JD's Trichomonas V (R) test displayed lower sensitivity (25.0%), specificity (83.3%), and weaker measure of agreement (Cohen's kappa, 0.233) with PCR. In multivariate analysis, the strongest independent predictor for T. vaginalis was female gender [adjusted odds ratio (AOR), 24.89; 95% confidence interval (CI): 10.58, 51.21; P-value<0.001]. Knowledge of STI showed a protective effect against infection with the parasite (AOR, 0.13; 95%CI: 0.07, 0.29; P-value<0.017).ConclusionThe sensitivity of wet mount microscopy was low for T. vaginalis screening in our region. The JD's Trichomonas V (R) test should not be considered as an alternative test. We recommend mandatory PCR assay for confirmation of negative wet mount results.",2018,Dec,BMC Womens Health,18,,10,WOS:000454583600001,10.1186/s12905-018-0699-5,,#7206,Asmah 2018,Exclusion reason: 6. HIV data not available or inappropriate; ,""
"Increased HIV prevalence among individuals attending a sexually transmitted infection clinic in Yaounde, Cameroon",Ndongmo C.B.; Zekeng L.; Kaptue L.,"Monitoring HIV prevalence among selected groups provides important data on infection trends. The present study assessed current HIV prevalence and risk correlates among 255 men and women consecutively attending a sexually transmitted infection clinic in Yaounde, Cameroon. Prevalence of 21.96% and 5.5% were found for HIV and syphilis, respectively, with a significant correlation between the two infections. Although marriage was not a significant predictor for HIV, married men were twice as likely as unmarried men to be infected; no such difference was observed for women. Inconsistent condom use was positively, but not significantly, associated with HIV. Also, age, education, and number of sex partners were not significant correlates of HIV infection. Compared to data collected in 1997, HIV prevalence in this clinic has increased nearly 6%. Our findings highlight the increasing spread of HIV infection in Cameroon and the need for additional control strategies to curb the epidemic.",2003,,International Journal of STD and AIDS,14,3,189-192,,10.1258/095646203762869205,,#2637,Ndongmo 2003,Exclusion reason: 8. STI data inappropriate or missing; ,""
A smartphone dongle for diagnosis of infectious diseases at the point of care,Laksanasopin T.; Guo T.W.; Nayak S.; Sridhara A.A.; Xie S.; Olowookere O.O.; Cadinu P.; Meng F.; Chee N.H.; Kim J.; Chin C.D.; Munyazesa E.; Mugwaneza P.; Rai A.J.; Mugisha V.; Castro A.R.; Steinmiller D.; Linder V.; Justman J.E.; Nsanzimana S.; Sia S.K.,"This work demonstrates that a full laboratory-quality immunoassay can be run on a smartphone accessory. This low-cost dongle replicates all mechanical, optical, and electronic functions of a laboratory-based enzyme-linked immunosorbent assay (ELISA) without requiring any stored energy; all necessary power is drawn from a smartphone. Rwandan health care workers used the dongle to test whole blood obtained via fingerprick from 96 patients enrolling into care at prevention of mother-to-child transmission clinics or voluntary counseling and testing centers. The dongle performed a triplexed immunoassay not currently available in a single test format: HIV antibody, treponemal-specific antibody for syphilis, and nontreponemal antibody for active syphilis infection. In a blinded experiment, health care workers obtained diagnostic results in 15 min from our triplex test that rivaled the gold standard of laboratory-based HIV ELISA and rapid plasma reagin (a screening test for syphilis), with sensitivity of 92 to 100% and specificity of 79 to 100%, consistent with needs of current clinical algorithms. Patient preference for the dongle was 97% compared to laboratory-based tests, with most pointing to the convenience of obtaining quick results with a single fingerprick. This work suggests that coupling microfluidics with recent advances in consumer electronics can make certain laboratory-based diagnostics accessible to almost any population with access to smartphones.",2015,,Science Translational Medicine,7,273,273re1,,10.1126/scitranslmed.aaa0056,,#4000,Laksanasopin 2015,Exclusion reason: 8. STI data inappropriate or missing; ,""
"Microbial isolates and HIV infection in couples attending fertility clinics in Sagamu, Nigeria.",Sule-Odu AO.; Oladapo OT.; Jagun OE.; Awosile J.,"This observational study was designed to determine the prevalence of HIV infection and the microbial isolates from the genital tracts of couples attending the fertility clinics of Olabisi Onabanjo University Teaching Hospital, Sagamu, Ogun State, Nigeria between January 2001 and December 2002. A total of 110 women and 49 of their male partners were recruited into the study. The majority of the patients were between 25 and 34 years (women: 71.8%; partners: 65.3%), though the men were significantly older than the women (p < 0.001). The overall prevalence of HIV infection in those who consented to screening was 8.2%, which was over twice the reported prevalence among the general population in Ogun State, Nigeria during the study period. Candida albicans (32.5%) and Staphylococcus aureus (27.5%) were the most frequently isolated microorganisms from the endocervix while Trichomonas vaginalis (37.9%) and Staphylococcus aureus (24.1%) were the most common microbes isolated from the posterior vaginal fornix. Of all the seminal qualities, only the volume showed a significant difference between the infected and non-infected samples (p < 0.004). This study suggests a higher prevalence of HIV infection among the infertile couples in our environment and it may be advisable to have them screened for HIV in the face of the present HIV situation in sub-Saharan Africa.",2005,Oct,Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,25,7,685-8,,10.1080/01443610500292221,16263544,#1348,Sule-Odu 2005,Exclusion reason: 5. Incorrect population; ,""
Low prevalence of cervical infections in women with vaginal discharge in west Africa: implications for syndromic management,"Pepin, J.; Deslandes, S.; Khonde, N.; Kintin, D. F.; Diakite, S.; Sylla, M.; Meda, H.; Sobela, F.; Asamoah-Adu, C.; Agyarko-Poku, T.; Frost, E.","Objectives: To measure prevalence and risk factors for cervical infections among a large sample of women consulting for vaginal discharge in west Africa and to evaluate its syndromic management through a two visit algorithm. Methods: In 11 health centres in Benin, Burkina Faso, Ghana, Guinee, and Mali 726 women who presented with a vaginal discharge without abdominal pain and who denied being a sex worker ( SW) were enrolled. Cervical samples were tested for the detection of Neisseria gonorrhoeae (NG) and Chlamydia trachomatis (CT) with polymerase chain reaction (PCR) assays. All participants were treated with single dose (2 g) metronidazole and clotrimazole cream for 3 days. They were randomised to be told either to come back on day 7 only if there was no improvement in the discharge (group A), or to come back on day 7 regardless of response to treatment (group B). Results: Overall, the prevalence of NG and CT was only 1.9% (14/726) and 3.2% (23/726) respectively. Risk factors previously recommended by the WHO were not associated with the presence of cervical infection, with the exception of the number of sex partners in the past 3 months. When taken together, these risk factors had a positive predictive value of only 6.4% to identify cervical infections. Prevalence of cervical infection was not higher in women who came back on day 7, regardless of the strategy used. Prevalence of NG/CT was lower in Ghana and Benin (5/280, 1.8%), where comprehensive interventions for SW have been ongoing for years, than in the three other countries (27/446, 6.1%, p = 0.01). Conclusions: NG and CT infections are uncommon in west African women who consult for vaginal discharge and who are not SW. Syndromic management of vaginal discharge should focus on the proper management of vaginitis. The control of gonococcal and chlamydial infection should be redesigned around interventions focusing on sex workers.",2004,Jun,Sex Transm Infect,80,3,230-235,WOS:000221704100016,10.1136/sti.2003.007534,,#6060,Pepin 2004,Exclusion reason: 6. HIV data not available or inappropriate; ,""
"HIV infection and risk factors among the armed forces personnel stationed in Kinshasa, Democratic Republic of Congo.",Rimoin AW.; Hoff NA.; Djoko CF.; Kisalu NK.; Kashamuka M.; Tamoufe U.; LeBreton M.; Kayembe PK.; Muyembe JJ.; Kitchen CR.; Saylors K.; Fair J.; Doshi R.; Papworth E.; Mpoudi-Ngole E.; Grillo MP.; Tshala F.; Peeters M.; Wolfe ND.,"Despite recent declines in HIV incidence, sub-Saharan Africa remains the most heavily affected region in the global HIV/AIDS epidemic. Estimates of HIV prevalence in African military personnel are scarce and inconsistent. We conducted a serosurvey between June and September 2007 among 4043 Armed Forces personnel of the Democratic Republic of Congo (FARDC) stationed in Kinshasa, Democratic Republic of Congo (DRC) to determine the prevalence of HIV and syphilis infections and describe associated risk behaviours. Participants provided blood for HIV and syphilis testing and responded to a demographic and risk factor questionnaire. The prevalence of HIV was 3.8% and the prevalence of syphilis was 11.9%. Women were more likely than men to be HIV positive, (7.5% vs. 3.6% respectively, aOR: 1.66, 95% C.I: 1.21-2.28, p < 0.05). Factors significantly associated with HIV infection included gender and self-reported genital ulcers in the 12 months before date of enrollment. The prevalence of HIV in the military appears to be higher than the general population in DRC (3.8% vs. 1.3%, respectively), with women at increased risk of infection.",2015,Mar,International journal of STD & AIDS,26,3,187-95,,10.1177/0956462414533672,24828556,#1860,Rimoin 2015,Exclusion reason: 8. STI data inappropriate or missing; ,""
Chlamydia Trachomatis and Neisseria Gonorrhoeae prevalence among women of reproductive age living in urogenital schistosomiasis endemic area in Ghana.,Yirenya-Tawiah D.; Annang TN.; Apea-Kubi KA.; Lomo G.; Mensah D.; Akyeh L.; Bosompem KM.,"Many studies have shown an overlap in the epidemiology of sexually transmitted infections (STIs) and urogenital schistosomiasis among young women living in schistosomiasis endemic areas. Yet we found no study assessing the prevalence of STI infections in urogenital schistosomiasis endemic areas in Ghana. As part of an epidemiological study on urogenital schistosomiasis and HIV, we sought to assess the prevalence of both Chlamydia trachomatis (CT) and Neisseria gonorhoeae (NG) infections among women living in schistosomiasis endemic communities and explore the relationship between the sexually transmitted infections (STIs) and demographic characteristics, sexual behaviour and self-reported symptoms. This was a cross-sectional study in which endocervical samples were collected from 191 women aged 15-49 years from October 2005 to March 2006. Samples were examined for CT and NG using Polymerase Chain Reaction (PCR). A structured questionnaire was also used to elicit information on study participant's gynaecological and obstetric history and symptoms for genital infection. Chi-square test and binary logistic regression were used to assess association between CT and NG and other variables such as age, sexual behaviour and self-reported symptoms. The overall prevalence of CT and NG were 6.3% and 2.6% respectively.The highest prevalence rates of CT were in the 15 to 19 year group while only individuals between 15 and 39 years were positive for NG. There was no association between CT and age, contraceptive use and the other variables assessed. NG on the other hand was found to be associated with age, number of births and number of sexual partners only by chi-square test. Our research revealed higher prevalence of CT and NG infections when compared to previous studies conducted among higher risk groups in non-urogenital schistosomiasis areas in Ghana. We therefore recommend further studies of these STIs in urogenital schistosomiasis endemic areas in the country.",2014,Jun,BMC research notes,7,,349,,10.1186/1756-0500-7-349,24917067,#1616,Yirenya-Tawiah 2014,Exclusion reason: 6. HIV data not available or inappropriate; ,""
Condom use and its association with HIV/sexually transmitted diseases in four urban communities of sub-Saharan Africa.,Lagarde E.; Auvert B.; Chege J.; Sukwa T.; Glynn JR.; Weiss HA.; Akam E.; Laourou M.; Caraël M.; Buvé A.;  .,"To estimate rates of condom use in four urban populations in sub-Saharan Africa and to assess their association with levels of HIV infection and other sexually transmitted diseases (STDs). Data were obtained from a multicentre study of factors that determine the differences in rate of spread of HIV in four African cities. Consenting participants were interviewed on sexual behaviour, and also provided blood and urine samples for testing for HIV infection and other STDs. Data on sexual behaviour included information on condom use during all reported spousal and non-spousal partnerships in the past 12 months. A total of 2116 adults aged 15-49 years were interviewed in Cotonou (Benin), 2089 in Yaoundé (Cameroon), 1889 in Kisumu (Kenya) and 1730 in Ndola (Zambia). Prevalence rates of HIV infection were 3.4% in Cotonou, 5.9% in Yaoundé, 25.9% in Kisumu and 28.4% in Ndola. Reported condom use was low, with the proportions of men and women who reported frequent condom use with all non-spousal partners being 21-25%, for men and 11-24% for women. A higher level of condom use by city was not associated with lower aggregate level of HIV infection. The proportions of men reporting genital pain or discharge during the past 12 months were significantly lower among those reporting frequent condom use in all sites except Yaoundé: in Cotonou, adjusted odds ratio (OR) = 0.28, 95% confidence interval (CI) = 0.09-0.94; in Kisumu, adjusted OR = 0.34, 95% CI = 0.14-0.83; and in Ndola, adjusted OR = 0.33, 95% CI = 0.12-0.90. The same association was found for reported genital ulcers in two sites only: in Cotonou, adjusted OR = 0.14, 95% CI = 0.02-1.02; and in Kisumu, adjusted OR = 0.18, 95% CI = 0.04-0.75. There were few statistically significant associations between condom use and biological indicators of HIV infection or other STDs in any of the cities. Similar levels of condom use were found in all four populations, and aggregate levels of condom use by city could not discriminate between cities with high and low level of HIV infection. It seems that rates of condom use may not have been high enough to have a strong impact on HIV/STD levels in the four cities. At an individual level, only a male history of reported STD symptoms was found to be consistently associated with lower rates of reported condom use.",2001,Aug,"AIDS (London, England)",15 Suppl 4,,S71-8,,10.1097/00002030-200108004-00008,11686468,#670,Lagarde 2001,Exclusion reason: 1. Duplicate; ,""
Mycoplasma genitalium is not associated with adverse outcomes of pregnancy in Guinea-Bissau.,Labbé AC.; Frost E.; Deslandes S.; Mendonça AP.; Alves AC.; Pépin J.,"To evaluate the impact of Mycoplasma genitalium on the outcome of pregnancy. Cervical samples from women who had previously participated in a case-control study (designed to assess the impact of syphilis and HIV-2 on the outcome of pregnancy in Guinea-Bissau) were processed using a PCR assay to detect the presence of M genitalium. Controls were women who had delivered a term neonate with a birth weight over 2500 g. Cases were classified into four groups of mothers according to the outcome of pregnancy: stillbirths, spontaneous abortions, premature deliveries, and small for gestational age (SGA) babies. Among the 1014 women included in this study, 6.2% were infected with M genitalium. M genitalium infection was not significantly associated with any of the adverse outcomes of pregnancy studied. Odds ratios (OR) for premature or SGA delivery in the presence of M genitalium infection were 1.37 (95% CI 0.69 to 2.60) and 0.44 (95% CI 0.01 to 2.75), respectively. For abortions and stillbirths, OR were respectively 0.61 (95% CI 0.07 to 2.51) and 1.07 (95% CI 0.42 to 2.42). M genitalium appears not to have a deleterious impact on the outcome of pregnancy.",2002,Aug,Sexually transmitted infections,78,4,289-91,,10.1136/sti.78.4.289,12181470,#77,Labbé 2002,Exclusion reason: 4. Incorrect setting or timing; ,""
Pregnancy Outcomes in Association with STDs including genital HSV-2 shedding in a South African Cohort Study.,Moodley D.; Sartorius B.; Madurai S.; Chetty V.; Maman S.,"Genital herpes simplex virus-2 (HSV-2) shedding in pregnant women in association with neonatal herpes infection has been widely studied but there is limited evidence of its association with pregnancy outcomes. In this retrospective observational study, we included a subgroup of pregnant women who were enrolled in a randomized control behavioural intervention study that was conducted in South Africa in 2008-2010. In pregnancy, women had a HIV rapid test done and a genital swab taken to test for curable STIs and HSV-2 DNA. Subsequent visits were scheduled for 6, 10, 14 weeks and 9 months post-delivery. Pregnancy outcomes were documented at the 6-week or 10-week postpartum visit. Women were treated syndromically for curable STIs. Among 615 women included in this data analysis, 36.6% (n=225) tested HIV positive and 8.3% (n=51) tested positive for genital HSV-2 shedding during pregnancy. Women <24 years and HIV-1 seropositive women were 1.5 and 2.5 times more likely to test positive for HSV-2 genital shedding respectively. STI treatment records were available for 158/205 (77.1%) women; all 87 women with symptomatic STIs were treated the same day, and 50/71 (70.4%) asymptomatic women received treatment at the subsequent visit. Remaining 21 (29.6%) asymptomatic women did not receive treatment because they failed to return for antenatal follow-up. In a multivariable regression analysis, genital HSV-2 shedding, HIV-1, Neisseria gonorrhoea, Chlamydia trachomatis and Trichomanas vaginalis were not associated with preterm deliveries, still births and low birth weight. However with stratification by treatment for a STI, asymptomatic women who were not treated were 3.3 times more likely to deliver prematurely (33.3%; n=6/18) when compared to women who were treated during pregnancy (13.2%; n=15/114) (p=0.042). Genital HSV-2 shedding in pregnancy does not appear to alter pregnancy outcomes. Untreated curable STIs (T.vaginalis, C.trachomatis, N.gonorrhoea) were more likely associated with preterm births.",2017,11,Sexually transmitted infections,93,7,460-466,,10.1136/sextrans-2017-053113,28396556,#1874,Moodley 2017,Exclusion reason: 7. HIV or sex data not disaggregated; ,""
Development and persistence of anti-chlamydial antibodies in women with incident chlamydia trachomatis infections in Uganda and Zimbabwe,Gorwitz R.; Sereday K.; Van Der Pol B.; Kwok C.; Morrison C.; Papp J.; Xu F.; Markowitz L.,"Background: Chlamydia trachomatis (Ct) IgG antibodies could provide evidence of past chlamydial infection for epidemiologic studies. Antibodies to chlamydial heat shock protein 60 (cHSP60) have been associated with complicated infection and infertility. Few studies have prospectively evaluated antibody development and persistence. Methods: Chlamydia serology (Medac IgG MOMP and cHSP60) was performed on stored sera from a cohort of 18-35 yr-old women seeking reproductive health services in Uganda and Zimbabwe who participated in a prospective study of HIV infection; study visits (including Ct-PCR testing) occurred on average every 80 days for up to 28 months. We analysed data on 135 women with ≥ 1 incident Ct infections who were IgG-seronegative prior to and had at least one IgG test on or after the date the incident infection was detected (“day zero”). Results: Sixty-six (49%) women seroconverted; of 54 tested on day zero, 46 (85%) were positive and 8 (15%) were negative and then positive when next tested (median 90 days). Of 12 seroconverters not tested on day zero, 11 (92%) were seropositive when next tested (median, 157 days). Nineteen (28%) of 69 non-seroconverters had no IgG testing beyond day zero and could not be assessed for delayed seroconversion. Of 52 seroconverters with subsequent testing, 27 (52%) remained persistently IgG-positive through the last test (median 248 days after seroconversion). Persistent IgG-positivity occurred in 61% (22/36) of those who were ever cHSP60-positive and 37% (6/16) of those who were not (NS), and in 56% (19/34) of those with only one Ct-PCR-positive visit and 50% (9/18) of those with more than one Ct-PCR-positive visit (NS). Conclusions Anti-MOMP IgG antibodies developed in half of women with incident Ct infection and persisted in half of them. Although persistence was more common in those who were cHSP60-positive (suggesting complicated infection), the difference was not statistically significant.",2013,,Sexually Transmitted Infections,89,"(Kwok C.; Morrison C.) FHI 360, Durham, NC, United States",,,10.1136/sextrans-2013-051184.0223,,#3790,Gorwitz 2013,Exclusion reason: 3. Incorrect study design; ,""
Review of STI and HIV epidemiological data from 1990 to 2001 in urban Burkina Faso: implications for STI and HIV control,"Nagot, N.; Meda, N.; Ouangre, A.; Ouedraogo, A.; Yaro, S.; Sombie, I.; Defer, M. C.; Barennes, H.; Van de Perre, P.","MEDLINE Abstract: OBJECTIVES:<BR>To better understand the sexually transmitted infection (STI)/HIV dynamics in an urban west African setting in order to adapt STI/HIV control efforts accordingly.<BR>METHODS:<BR>Review of STI and HIV epidemiological studies performed over the past decade in Bobo-Dioulasso, the second city of Burkina Faso. Trends in STI prevalence among commercial sex workers and the general population were assessed over time through studies that used the same recruitment and laboratory diagnostic procedures. Variations in aetiologies of vaginal discharge, urethral discharge, and genital ulcers were also evaluated among patients consulting for genital infection complaints. Antenatal clinic based surveys provided data to assess HIV trend among the general population.<BR>RESULTS:<BR>We observed an important decline of classic bacterial STI such as syphilis, Neisseria gonorrhoea, Chlamydia trachomatis, and Haemophilus ducrey infections in all study groups. Trichomoniasis also declined but to a lesser extent. HIV infection followed the same trend at the same time, with a significant decline in the 15-19 year age group of pregnant women, suggesting a possible decrease of HIV incidence. Although no evidence of a causal relation can be drawn from this review, adoption of safer sex behaviour, introduction of the syndromic management (SM) approach, or higher antibiotic use may have contributed to these changes.<BR>CONCLUSIONS:<BR>Classic bacterial STI declined over the past decade in parallel with a stabilisation of HIV infection. Variations in syndromes aetiology and sexual behaviours should be monitored as part of STI surveillance in order to improve STI syndromic management algorithms and to adapt HIV/STI prevention efforts",2004,01/01/,Sex Transm Infect,80,2,124-129,,,,#5727,Nagot 2004,Exclusion reason: 3. Incorrect study design; ,""
